"year","date","mbbs_county","route","route_num","tax_order","count","county_factor","time"
2008,2008-06-07,"orange",6,5,33465,8,1,9
2008,2008-06-07,"orange",12,11,33465,0,NA,9
2008,2008-06-08,"chatham",45,5,33465,2,40,9
2008,2008-06-08,"chatham",47,7,33465,3,40,9
2008,2008-06-08,"durham",25,5,33465,0,NA,9
2008,2008-06-08,"durham",26,6,33465,0,NA,9
2008,2008-06-08,"orange",13,12,33465,6,1,9
2008,2008-06-15,"chatham",43,3,33465,15,40,9
2008,2008-06-15,"chatham",48,8,33465,2,40,9
2008,2008-06-15,"chatham",52,12,33465,6,40,9
2008,2008-06-15,"orange",2,1,33465,6,1,9
2008,2008-06-24,"durham",28,8,33465,0,NA,9
2008,2008-06-27,"orange",10,9,33465,0,NA,9
2009,2009-05-17,"chatham",48,8,33465,0,NA,10
2009,2009-05-24,"orange",5,4,33465,2,1,10
2009,2009-05-25,"chatham",51,11,33465,0,NA,10
2009,2009-05-25,"chatham",54,14,33465,7,40,10
2009,2009-05-29,"orange",9,8,33465,0,NA,10
2009,2009-05-30,"durham",24,4,33465,3,20,10
2009,2009-05-31,"chatham",42,2,33465,2,40,10
2009,2009-05-31,"chatham",52,12,33465,1,40,10
2009,2009-05-31,"durham",21,1,33465,4,20,10
2009,2009-05-31,"durham",22,2,33465,0,NA,10
2009,2009-05-31,"orange",8,7,33465,0,NA,10
2009,2009-06-01,"orange",4,3,33465,1,1,10
2009,2009-06-03,"orange",3,2,33465,0,NA,10
2009,2009-06-07,"chatham",44,4,33465,3,40,10
2009,2009-06-07,"orange",2,1,33465,6,1,10
2009,2009-06-07,"orange",7,6,33465,0,NA,10
2009,2009-06-07,"orange",11,10,33465,2,1,10
2009,2009-06-11,"chatham",41,1,33465,0,NA,10
2009,2009-06-13,"orange",12,11,33465,0,NA,10
2009,2009-06-14,"chatham",45,5,33465,14,40,10
2009,2009-06-14,"durham",25,5,33465,0,NA,10
2009,2009-06-14,"durham",26,6,33465,0,NA,10
2009,2009-06-20,"chatham",53,13,33465,0,NA,10
2009,2009-06-20,"orange",6,5,33465,7,1,10
2009,2009-06-21,"chatham",43,3,33465,9,40,10
2009,2009-06-21,"chatham",46,6,33465,3,40,10
2009,2009-06-21,"chatham",50,10,33465,4,40,10
2009,2009-06-21,"durham",23,3,33465,0,NA,10
2009,2009-06-27,"chatham",49,9,33465,1,40,10
2009,2009-06-28,"chatham",47,7,33465,4,40,10
2009,2009-06-28,"orange",10,9,33465,0,NA,10
2009,2009-06-30,"durham",27,7,33465,3,20,10
2009,2009-07-05,"orange",13,12,33465,5,1,10
2010,2010-05-09,"durham",21,1,33465,2,20,11
2010,2010-05-23,"orange",8,7,33465,2,1,11
2010,2010-05-29,"orange",3,2,33465,2,1,11
2010,2010-05-30,"chatham",43,3,33465,10,40,11
2010,2010-05-30,"orange",6,5,33465,4,1,11
2010,2010-05-31,"orange",13,12,33465,1,1,11
2010,2010-06-01,"chatham",44,4,33465,6,40,11
2010,2010-06-01,"orange",9,8,33465,0,1,11
2010,2010-06-05,"chatham",41,1,33465,0,40,11
2010,2010-06-05,"chatham",45,5,33465,19,40,11
2010,2010-06-06,"chatham",48,8,33465,1,40,11
2010,2010-06-06,"chatham",53,13,33465,8,40,11
2010,2010-06-08,"orange",7,6,33465,2,1,11
2010,2010-06-11,"chatham",51,11,33465,2,40,11
2010,2010-06-13,"chatham",47,7,33465,4,40,11
2010,2010-06-13,"durham",22,2,33465,0,NA,11
2010,2010-06-13,"durham",23,3,33465,0,NA,11
2010,2010-06-13,"durham",25,5,33465,0,NA,11
2010,2010-06-13,"durham",26,6,33465,0,NA,11
