"year","date","mbbs_county","route","route_num","tax_order","count","county_factor","time"
2011,2011-05-30,"orange",3,2,26890,0,NA,12
2011,2011-05-30,"orange",7,6,26890,4,1,12
2011,2011-06-04,"chatham",45,5,26890,36,40,12
2011,2011-06-05,"chatham",41,1,26890,0,NA,12
2011,2011-06-05,"durham",22,2,26890,0,NA,12
2011,2011-06-05,"orange",9,8,26890,0,NA,12
2011,2011-06-09,"durham",23,3,26890,14,20,12
2011,2011-06-12,"chatham",51,11,26890,0,NA,12
2011,2011-06-12,"chatham",53,13,26890,13,40,12
2011,2011-06-12,"orange",4,3,26890,9,1,12
2011,2011-06-12,"orange",10,9,26890,0,NA,12
2011,2011-06-16,"durham",27,7,26890,1,20,12
2011,2011-06-18,"chatham",43,3,26890,0,NA,12
2011,2011-06-19,"chatham",47,7,26890,1,40,12
2011,2011-06-19,"chatham",50,10,26890,0,NA,12
2011,2011-06-19,"durham",28,8,26890,0,NA,12
2011,2011-06-19,"orange",5,4,26890,4,1,12
2011,2011-06-25,"orange",6,5,26890,30,1,12
2011,2011-07-02,"chatham",49,9,26890,0,NA,12
2012,2012-05-13,"orange",9,8,26890,0,NA,13
2012,2012-05-17,"orange",8,7,26890,0,NA,13
2012,2012-05-20,"chatham",42,2,26890,31,40,13
2012,2012-05-20,"durham",26,6,26890,26,20,13
2012,2012-05-27,"chatham",45,5,26890,16,40,13
2012,2012-05-27,"durham",21,1,26890,0,NA,13
2012,2012-05-27,"durham",25,5,26890,8,20,13
2012,2012-05-28,"chatham",44,4,26890,8,40,13
2012,2012-05-28,"orange",3,2,26890,5,1,13
2012,2012-06-02,"orange",6,5,26890,4,1,13
2012,2012-06-03,"chatham",41,1,26890,15,40,13
2012,2012-06-03,"chatham",43,3,26890,0,NA,13
2012,2012-06-03,"orange",7,6,26890,0,NA,13
2012,2012-06-09,"chatham",47,7,26890,0,NA,13
2012,2012-06-10,"durham",24,4,26890,0,NA,13
2012,2012-06-10,"durham",28,8,26890,2,20,13
2012,2012-06-10,"orange",2,1,26890,54,1,13
2012,2012-06-10,"orange",10,9,26890,0,NA,13
2012,2012-06-12,"durham",27,7,26890,25,20,13
2012,2012-06-16,"chatham",51,11,26890,0,NA,13
2012,2012-06-17,"chatham",48,8,26890,3,40,13
2012,2012-06-17,"chatham",49,9,26890,0,NA,13
2012,2012-06-17,"chatham",50,10,26890,0,NA,13
2012,2012-06-17,"durham",23,3,26890,5,20,13
2012,2012-06-17,"orange",11,10,26890,25,1,13
2012,2012-06-17,"orange",12,11,26890,73,1,13
2012,2012-06-17,"orange",13,12,26890,0,NA,13
2012,2012-06-23,"durham",22,2,26890,0,NA,13
2012,2012-06-24,"chatham",53,13,26890,16,40,13
2013,2013-05-19,"orange",9,8,26890,1,1,14
2013,2013-05-26,"chatham",41,1,26890,1,40,14
2013,2013-05-26,"chatham",44,4,26890,4,40,14
2013,2013-05-26,"chatham",45,5,26890,14,40,14
2013,2013-05-26,"orange",3,2,26890,12,1,14
2013,2013-05-26,"orange",11,10,26890,0,NA,14
2013,2013-06-02,"chatham",53,13,26890,28,40,14
2013,2013-06-02,"durham",26,6,26890,15,20,14
2013,2013-06-02,"orange",6,5,26890,1,1,14
2013,2013-06-02,"orange",7,6,26890,5,1,14
2013,2013-06-02,"orange",13,12,26890,0,NA,14
2013,2013-06-09,"chatham",43,3,26890,0,NA,14
2013,2013-06-09,"chatham",47,7,26890,0,NA,14
2013,2013-06-09,"durham",24,4,26890,0,NA,14
2013,2013-06-09,"durham",25,5,26890,4,20,14
2013,2013-06-09,"orange",5,4,26890,0,NA,14
2013,2013-06-13,"orange",2,1,26890,10,1,14
2013,2013-06-14,"durham",22,2,26890,0,NA,14
2013,2013-06-16,"chatham",49,9,26890,0,NA,14
2013,2013-06-16,"durham",21,1,26890,20,20,14
2013,2013-06-16,"durham",23,3,26890,0,NA,14
2013,2013-06-16,"durham",28,8,26890,0,NA,14
2013,2013-06-16,"orange",10,9,26890,0,NA,14
2013,2013-06-19,"chatham",42,2,26890,0,NA,14
2013,2013-06-19,"chatham",51,11,26890,0,NA,14
2013,2013-06-20,"durham",27,7,26890,4,20,14
2013,2013-06-23,"chatham",50,10,26890,4,40,14
2013,2013-06-30,"chatham",48,8,26890,8,40,14
2014,2014-05-15,"durham",24,4,26890,0,NA,15
2014,2014-05-18,"orange",9,8,26890,0,NA,15
2014,2014-05-25,"chatham",44,4,26890,9,40,15
2014,2014-05-25,"chatham",48,8,26890,2,40,15
2014,2014-05-25,"orange",3,2,26890,12,1,15
2014,2014-05-25,"orange",10,9,26890,2,1,15
2014,2014-05-26,"chatham",41,1,26890,0,NA,15
2014,2014-05-27,"orange",8,7,26890,10,1,15
2014,2014-06-01,"chatham",54,14,26890,0,NA,15
2014,2014-06-01,"durham",21,1,26890,0,NA,15
2014,2014-06-01,"durham",26,6,26890,0,NA,15
2014,2014-06-01,"durham",28,8,26890,2,20,15
2014,2014-06-01,"orange",4,3,26890,4,1,15
2014,2014-06-07,"durham",22,2,26890,0,NA,15
2014,2014-06-08,"chatham",53,13,26890,22,40,15
2014,2014-06-08,"durham",25,5,26890,0,NA,15
2014,2014-06-08,"orange",7,6,26890,1,1,15
2014,2014-06-08,"orange",13,12,26890,0,NA,15
2014,2014-06-12,"durham",23,3,26890,3,20,15
2014,2014-06-15,"chatham",42,2,26890,0,NA,15
2014,2014-06-15,"chatham",43,3,26890,0,NA,15
2014,2014-06-15,"orange",5,4,26890,0,NA,15
2014,2014-06-21,"chatham",45,5,26890,12,40,15
2014,2014-06-22,"chatham",49,9,26890,0,NA,15
2014,2014-06-22,"orange",2,1,26890,1,1,15
2014,2014-06-29,"orange",6,5,26890,10,1,15
2014,2014-07-13,"chatham",47,7,26890,0,NA,15
2015,2015-05-17,"chatham",41,1,26890,2,40,16
2015,2015-05-17,"chatham",42,2,26890,0,NA,16
2015,2015-05-17,"chatham",43,3,26890,1,40,16
2015,2015-05-17,"durham",26,6,26890,12,20,16
2015,2015-05-24,"chatham",48,8,26890,6,40,16
2015,2015-05-24,"durham",21,1,26890,4,20,16
2015,2015-05-24,"durham",25,5,26890,1,20,16
2015,2015-05-24,"orange",2,1,26890,19,1,16
2015,2015-05-24,"orange",9,8,26890,0,NA,16
2015,2015-05-24,"orange",10,9,26890,2,1,16
2015,2015-05-25,"chatham",44,4,26890,4,40,16
2015,2015-05-31,"orange",3,2,26890,4,1,16
2015,2015-05-31,"orange",5,4,26890,1,1,16
2015,2015-05-31,"orange",6,5,26890,2,1,16
2015,2015-05-31,"orange",8,7,26890,0,NA,16
2015,2015-06-01,"durham",22,2,26890,0,NA,16
2015,2015-06-07,"orange",4,3,26890,14,1,16
2015,2015-06-07,"orange",7,6,26890,0,NA,16
2015,2015-06-13,"durham",23,3,26890,1,20,16
2015,2015-06-14,"chatham",53,13,26890,57,40,16
2015,2015-06-14,"chatham",54,14,26890,0,NA,16
2015,2015-06-14,"durham",28,8,26890,17,20,16
2015,2015-06-16,"chatham",45,5,26890,28,40,16
2015,2015-06-24,"durham",27,7,26890,0,NA,16
2015,2015-06-27,"chatham",47,7,26890,0,NA,16
2015,2015-06-27,"chatham",50,10,26890,0,NA,16
2015,2015-06-28,"orange",13,12,26890,0,NA,16
